GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,0500000US05073,05073,United States - Arkansas - Lafayette County,Lafayette County,31194,2050
0100000US,,United States,0500000US05075,05075,United States - Arkansas - Lawrence County,Lawrence County,32379,2333
0100000US,,United States,0500000US05077,05077,United States - Arkansas - Lee County,Lee County,28393,3099
0100000US,,United States,0500000US05079,05079,United States - Arkansas - Lincoln County,Lincoln County,32580,3772
0100000US,,United States,0500000US05081,05081,United States - Arkansas - Little River County,Little River County,36205,2431
0100000US,,United States,0500000US05083,05083,United States - Arkansas - Logan County,Logan County,35325,2421
0100000US,,United States,0500000US05085,05085,United States - Arkansas - Lonoke County,Lonoke County,53631,1815
0100000US,,United States,0500000US05087,05087,United States - Arkansas - Madison County,Madison County,37691,2566
0100000US,,United States,0500000US05089,05089,United States - Arkansas - Marion County,Marion County,34195,1933
0100000US,,United States,0500000US05091,05091,United States - Arkansas - Miller County,Miller County,40317,1704
0100000US,,United States,0500000US05093,05093,United States - Arkansas - Mississippi County,Mississippi County,34612,1846
0100000US,,United States,0500000US05095,05095,United States - Arkansas - Monroe County,Monroe County,27647,2257
0100000US,,United States,0500000US05097,05097,United States - Arkansas - Montgomery County,Montgomery County,33037,3000
0100000US,,United States,0500000US05099,05099,United States - Arkansas - Nevada County,Nevada County,30691,6746
0100000US,,United States,0500000US05101,05101,United States - Arkansas - Newton County,Newton County,34536,4215
0100000US,,United States,0500000US05103,05103,United States - Arkansas - Ouachita County,Ouachita County,31293,2373
0100000US,,United States,0500000US05105,05105,United States - Arkansas - Perry County,Perry County,42346,4617
0100000US,,United States,0500000US05107,05107,United States - Arkansas - Phillips County,Phillips County,26844,1699
0100000US,,United States,0500000US05109,05109,United States - Arkansas - Pike County,Pike County,33097,2443
0100000US,,United States,0500000US05111,05111,United States - Arkansas - Poinsett County,Poinsett County,33070,2520
0100000US,,United States,0500000US05113,05113,United States - Arkansas - Polk County,Polk County,33702,1934
0100000US,,United States,0500000US05115,05115,United States - Arkansas - Pope County,Pope County,39810,2382
0100000US,,United States,0500000US05117,05117,United States - Arkansas - Prairie County,Prairie County,35833,3076
0100000US,,United States,0500000US05119,05119,United States - Arkansas - Pulaski County,Pulaski County,46140,890
0100000US,,United States,0500000US05121,05121,United States - Arkansas - Randolph County,Randolph County,34044,3141
0100000US,,United States,0500000US05123,05123,United States - Arkansas - St. Francis County,St. Francis County,32105,2438
0100000US,,United States,0500000US05125,05125,United States - Arkansas - Saline County,Saline County,55817,1634
0100000US,,United States,0500000US05127,05127,United States - Arkansas - Scott County,Scott County,37321,3360
0100000US,,United States,0500000US05129,05129,United States - Arkansas - Searcy County,Searcy County,33083,2407
0100000US,,United States,0500000US05131,05131,United States - Arkansas - Sebastian County,Sebastian County,38575,1454
0100000US,,United States,0500000US05133,05133,United States - Arkansas - Sevier County,Sevier County,36579,3298
0100000US,,United States,0500000US05135,05135,United States - Arkansas - Sharp County,Sharp County,30691,1775
0100000US,,United States,0500000US05137,05137,United States - Arkansas - Stone County,Stone County,29264,2701
0100000US,,United States,0500000US05139,05139,United States - Arkansas - Union County,Union County,38678,2741
0100000US,,United States,0500000US05141,05141,United States - Arkansas - Van Buren County,Van Buren County,32312,2393
0100000US,,United States,0500000US05143,05143,United States - Arkansas - Washington County,Washington County,43524,1412
0100000US,,United States,0500000US05145,05145,United States - Arkansas - White County,White County,42554,2009
0100000US,,United States,0500000US05147,05147,United States - Arkansas - Woodruff County,Woodruff County,28993,2970
0100000US,,United States,0500000US05149,05149,United States - Arkansas - Yell County,Yell County,37804,2149
0100000US,,United States,0400000US06,06,United States - California,California,61818,156
0100000US,,United States,0500000US06001,06001,United States - California - Alameda County,Alameda County,75619,613
0100000US,,United States,0500000US06003,06003,United States - California - Alpine County,Alpine County,52917,13603
0100000US,,United States,0500000US06005,06005,United States - California - Amador County,Amador County,54171,4208
0100000US,,United States,0500000US06007,06007,United States - California - Butte County,Butte County,43444,1068
0100000US,,United States,0500000US06009,06009,United States - California - Calaveras County,Calaveras County,53233,3774
0100000US,,United States,0500000US06011,06011,United States - California - Colusa County,Colusa County,52168,2583
0100000US,,United States,0500000US06013,06013,United States - California - Contra Costa County,Contra Costa County,80185,827
0100000US,,United States,0500000US06015,06015,United States - California - Del Norte County,Del Norte County,40847,4369
0100000US,,United States,0500000US06017,06017,United States - California - El Dorado County,El Dorado County,69584,1835
0100000US,,United States,0500000US06019,06019,United States - California - Fresno County,Fresno County,45233,692
0100000US,,United States,0500000US06021,06021,United States - California - Glenn County,Glenn County,39349,4204
0100000US,,United States,0500000US06023,06023,United States - California - Humboldt County,Humboldt County,42197,1183
0100000US,,United States,0500000US06025,06025,United States - California - Imperial County,Imperial County,41079,1556
0100000US,,United States,0500000US06027,06027,United States - California - Inyo County,Inyo County,45955,2280
0100000US,,United States,0500000US06029,06029,United States - California - Kern County,Kern County,49026,865
0100000US,,United States,0500000US06031,06031,United States - California - Kings County,Kings County,46481,1200
0100000US,,United States,0500000US06033,06033,United States - California - Lake County,Lake County,35578,2034
0100000US,,United States,0500000US06035,06035,United States - California - Lassen County,Lassen County,51555,2789
0100000US,,United States,0500000US06037,06037,United States - California - Los Angeles County,Los Angeles County,56196,270
0100000US,,United States,0500000US06039,06039,United States - California - Madera County,Madera County,45073,1837
0100000US,,United States,0500000US06041,06041,United States - California - Marin County,Marin County,93257,2610
0100000US,,United States,0500000US06043,06043,United States - California - Mariposa County,Mariposa County,47681,4294
0100000US,,United States,0500000US06045,06045,United States - California - Mendocino County,Mendocino County,42980,1757
0100000US,,United States,0500000US06047,06047,United States - California - Merced County,Merced County,42462,1214
0100000US,,United States,0500000US06049,06049,United States - California - Modoc County,Modoc County,37860,4210
0100000US,,United States,0500000US06051,06051,United States - California - Mono County,Mono County,56944,10734
0100000US,,United States,0500000US06053,06053,United States - California - Monterey County,Monterey County,58783,1121
0100000US,,United States,0500000US06055,06055,United States - California - Napa County,Napa County,71379,2063
0100000US,,United States,0500000US06057,06057,United States - California - Nevada County,Nevada County,56521,2539
0100000US,,United States,0500000US06059,06059,United States - California - Orange County,Orange County,76509,426
0100000US,,United States,0500000US06061,06061,United States - California - Placer County,Placer County,73948,1220
0100000US,,United States,0500000US06063,06063,United States - California - Plumas County,Plumas County,47333,3575
0100000US,,United States,0500000US06065,06065,United States - California - Riverside County,Riverside County,56603,478
0100000US,,United States,0500000US06067,06067,United States - California - Sacramento County,Sacramento County,55987,594
0100000US,,United States,0500000US06069,06069,United States - California - San Benito County,San Benito County,71077,2019
0100000US,,United States,0500000US06071,06071,United States - California - San Bernardino County,San Bernardino County,53433,571
0100000US,,United States,0500000US06073,06073,United States - California - San Diego County,San Diego County,64309,514
0100000US,,United States,0500000US06075,06075,United States - California - San Francisco County,San Francisco County,81294,1099
0100000US,,United States,0500000US06077,06077,United States - California - San Joaquin County,San Joaquin County,53274,946
0100000US,,United States,0500000US06079,06079,United States - California - San Luis Obispo County,San Luis Obispo County,60691,1137
0100000US,,United States,0500000US06081,06081,United States - California - San Mateo County,San Mateo County,93623,1412
0100000US,,United States,0500000US06083,06083,United States - California - Santa Barbara County,Santa Barbara County,63985,1293
0100000US,,United States,0500000US06085,06085,United States - California - Santa Clara County,Santa Clara County,96310,783
0100000US,,United States,0500000US06087,06087,United States - California - Santa Cruz County,Santa Cruz County,67256,1534
0100000US,,United States,0500000US06089,06089,United States - California - Shasta County,Shasta County,44620,1209
