GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,MOE
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographical Area,Geographical Area,Median,Margin of Error
0100000US,,United States,0500000US12103,12103,United States - Florida - Pinellas County,Pinellas County,43591,734
0100000US,,United States,0500000US12105,12105,United States - Florida - Polk County,Polk County,42534,804
0100000US,,United States,0500000US12107,12107,United States - Florida - Putnam County,Putnam County,31493,2100
0100000US,,United States,0500000US12109,12109,United States - Florida - St. Johns County,St. Johns County,61281,2580
0100000US,,United States,0500000US12111,12111,United States - Florida - St. Lucie County,St. Lucie County,46288,1097
0100000US,,United States,0500000US12113,12113,United States - Florida - Santa Rosa County,Santa Rosa County,51780,1977
0100000US,,United States,0500000US12115,12115,United States - Florida - Sarasota County,Sarasota County,49030,932
0100000US,,United States,0500000US12117,12117,United States - Florida - Seminole County,Seminole County,57318,1201
0100000US,,United States,0500000US12119,12119,United States - Florida - Sumter County,Sumter County,39387,3154
0100000US,,United States,0500000US12121,12121,United States - Florida - Suwannee County,Suwannee County,36254,2131
0100000US,,United States,0500000US12127,12127,United States - Florida - Volusia County,Volusia County,41772,743
0100000US,,United States,0500000US12129,12129,United States - Florida - Wakulla County,Wakulla County,52366,4240
0100000US,,United States,0500000US12131,12131,United States - Florida - Walton County,Walton County,47906,3982
0100000US,,United States,0500000US12133,12133,United States - Florida - Washington County,Washington County,34814,5211
0100000US,,United States,0400000US13,13,United States - Georgia,Georgia,48540,252
0100000US,,United States,0500000US13009,13009,United States - Georgia - Baldwin County,Baldwin County,37500,4252
0100000US,,United States,0500000US13013,13013,United States - Georgia - Barrow County,Barrow County,49763,4218
0100000US,,United States,0500000US13015,13015,United States - Georgia - Bartow County,Bartow County,48118,2128
0100000US,,United States,0500000US13021,13021,United States - Georgia - Bibb County,Bibb County,36567,1855
0100000US,,United States,0500000US13029,13029,United States - Georgia - Bryan County,Bryan County,67294,7349
0100000US,,United States,0500000US13031,13031,United States - Georgia - Bulloch County,Bulloch County,35329,2904
0100000US,,United States,0500000US13033,13033,United States - Georgia - Burke County,Burke County,33245,2881
0100000US,,United States,0500000US13035,13035,United States - Georgia - Butts County,Butts County,53477,2533
0100000US,,United States,0500000US13039,13039,United States - Georgia - Camden County,Camden County,44593,2471
0100000US,,United States,0500000US13045,13045,United States - Georgia - Carroll County,Carroll County,44160,2105
0100000US,,United States,0500000US13047,13047,United States - Georgia - Catoosa County,Catoosa County,46729,2754
0100000US,,United States,0500000US13051,13051,United States - Georgia - Chatham County,Chatham County,43443,1315
0100000US,,United States,0500000US13055,13055,United States - Georgia - Chattooga County,Chattooga County,31846,2569
0100000US,,United States,0500000US13057,13057,United States - Georgia - Cherokee County,Cherokee County,64362,1955
0100000US,,United States,0500000US13059,13059,United States - Georgia - Clarke County,Clarke County,34938,1763
0100000US,,United States,0500000US13063,13063,United States - Georgia - Clayton County,Clayton County,43077,1221
0100000US,,United States,0500000US13067,13067,United States - Georgia - Cobb County,Cobb County,65123,1238
0100000US,,United States,0500000US13069,13069,United States - Georgia - Coffee County,Coffee County,32863,3044
0100000US,,United States,0500000US13071,13071,United States - Georgia - Colquitt County,Colquitt County,30941,2590
0100000US,,United States,0500000US13073,13073,United States - Georgia - Columbia County,Columbia County,66040,3118
0100000US,,United States,0500000US13077,13077,United States - Georgia - Coweta County,Coweta County,61384,2178
0100000US,,United States,0500000US13081,13081,United States - Georgia - Crisp County,Crisp County,28674,4514
0100000US,,United States,0500000US13085,13085,United States - Georgia - Dawson County,Dawson County,56201,6757
0100000US,,United States,0500000US13087,13087,United States - Georgia - Decatur County,Decatur County,31289,2772
0100000US,,United States,0500000US13089,13089,United States - Georgia - DeKalb County,DeKalb County,51330,964
0100000US,,United States,0500000US13091,13091,United States - Georgia - Dodge County,Dodge County,28201,7070
0100000US,,United States,0500000US13095,13095,United States - Georgia - Dougherty County,Dougherty County,35208,2288
0100000US,,United States,0500000US13097,13097,United States - Georgia - Douglas County,Douglas County,55939,1632
0100000US,,United States,0500000US13103,13103,United States - Georgia - Effingham County,Effingham County,51422,2549
0100000US,,United States,0500000US13105,13105,United States - Georgia - Elbert County,Elbert County,31225,2485
0100000US,,United States,0500000US13107,13107,United States - Georgia - Emanuel County,Emanuel County,25866,3133
0100000US,,United States,0500000US13111,13111,United States - Georgia - Fannin County,Fannin County,37958,2878
